"id","zodis","skaicius"
1524,"849",1
1525,"84th",1
1526,"85",6
1527,"850",1
1528,"851",1
1529,"852",1
1530,"853",1
1531,"854",1
1532,"855",1
1533,"856",1
1534,"857",1
1535,"858",1
1536,"859",1
1537,"86",9
1538,"860",1
1539,"861",1
1540,"862",1
1541,"863",1
1542,"864",1
1543,"865",1
1544,"866",1
1545,"867",1
1546,"868",1
1547,"869",1
1548,"87",3
1549,"870",2
1550,"871",1
1551,"872",1
1552,"873",1
1553,"874",1
1554,"875",1
1555,"876",1
1556,"877",1
1557,"878",1
1558,"879",1
1559,"88",4
1560,"880",1
1561,"881",1
1562,"882",1
1563,"883",1
1564,"884",1
1565,"885",1
1566,"886",1
1567,"887",2
1568,"888",1
1569,"889",1
1570,"89",5
1571,"890",1
1572,"891",1
1573,"892",1
1574,"893",1
1575,"894",1
1576,"895",1
1577,"896",1
1578,"897",1
1579,"898",1
1580,"899",1
1581,"8th",1
1582,"8vo",1
1583,"9",150
1584,"90",5
1585,"900",1
1586,"901",1
1587,"902",1
1588,"903",1
1589,"904",1
1590,"905",1
1591,"906",1
1592,"907",1
1593,"908",1
1594,"909",1
1595,"91",2
1596,"910",1
1597,"911",1
1598,"912",1
1599,"913",1
1600,"914",1
1601,"915",1
1602,"916",1
1603,"917",2
1604,"918",1
1605,"919",1
1606,"92",1
1607,"920",1
1608,"921",1
1609,"922",1
1610,"923",1
1611,"924",1
1612,"925",1
1613,"926",1
1614,"927",1
1615,"928",1
1616,"929",1
1617,"93",2
1618,"930",1
1619,"931",1
1620,"932",1
1621,"933",1
1622,"934",1
1623,"935",1
1624,"936",1
1625,"937",1
1626,"938",1
1627,"939",1
1628,"94",3
1629,"940",1
1630,"941",1
1631,"942",1
1632,"943",1
1633,"944",1
1634,"945",1
1635,"946",1
1636,"947",1
1637,"948",1
1638,"949",1
1639,"95",2
1640,"950",1
1641,"951",1
1642,"952",1
1643,"953",1
1644,"954",1
1645,"955",1
1646,"956",1
1647,"957",1
1648,"958",1
1649,"959",1
1650,"96",5
1651,"960",1
1652,"961",1
1653,"962",1
1654,"963",1
1655,"964",1
1656,"965",1
1657,"966",1
1658,"967",1
1659,"968",1
1660,"969",2
1661,"97",2
1662,"970",1
1663,"971",1
1664,"972",1
1665,"973",1
1666,"974",1
1667,"975",1
1668,"976",1
1669,"977",1
1670,"978",1
1671,"979",1
1672,"98",2
1673,"980",1
1674,"981",1
1675,"982",1
1676,"983",1
1677,"984",3
1678,"985",2
1679,"986",2
1680,"987",2
1681,"988",1
1682,"989",1
1683,"99",1
1684,"990",1
1685,"991",1
1686,"992",1
1687,"993",1
1688,"994",1
1689,"995",1
1690,"996",1
1691,"997",2
1692,"998",1
1693,"999",1
1694,"a",8876
1695,"ab",144
1696,"abacturus",1
1697,"abaddon",1
1698,"abandon",5
1699,"abashd",1
1700,"abashed",11
1701,"abate",1
1702,"abated",1
1703,"abates",1
1704,"abateth",1
1705,"abaville",1
1706,"abbatis",2
1707,"abbess",3
1708,"abbey",3
1709,"abbeys",7
1710,"abbot",7
1711,"abbots",1
1712,"abbreviate",1
1713,"abdera",10
1714,"abderitae",1
1715,"abderitanae",1
1716,"abderitanos",1
1717,"abderitans",1
1718,"abderitanum",1
1719,"abderites",6
1720,"abderitian",1
1721,"abderum",1
1722,"abdicate",1
1723,"abdicated",2
1724,"abdicato",1
1725,"abdita",1
1726,"abditis",1
1727,"abdolominus",2
1728,"abdomen",1
