"zodis","total","singular","singular.num","plural","plural.num"
"principal",54,"",0,"",0
"stones",54,"",0,"",0
"sure",54,"",0,"",0
"surely",54,"",0,"",0
"tongue",54,"tongue",42,"tongues",12
"apud",53,"",0,"",0
"beginning",53,"beginning",43,"beginnings",10
"cast",53,"",0,"",0
"door",53,"door",29,"doors",24
"duke",53,"duke",51,"dukes",2
"human",53,"",0,"",0
"joy",53,"",0,"",0
"lest",53,"",0,"",0
"loved",53,"",0,"",0
"moved",53,"",0,"",0
"nulla",53,"",0,"",0
"overcome",53,"overcome",51,"overcomes",2
"peace",53,"",0,"",0
"perturbations",53,"",0,"",0
"pleased",53,"",0,"",0
"proves",53,"",0,"",0
"semper",53,"",0,"",0
"shame",53,"",0,"",0
"silly",53,"",0,"",0
"soon",53,"",0,"",0
"tibi",53,"",0,"",0
"tree",53,"tree",26,"trees",27
"wherein",53,"",0,"",0
"brother",52,"",0,"",0
"christians",52,"",0,"",0
"deus",52,"",0,"",0
"discontents",52,"",0,"",0
"etiam",52,"",0,"",0
"guianerius",52,"",0,"",0
"infirmities",52,"",0,"",0
"nos",52,"",0,"",0
"prodigious",52,"",0,"",0
"saint",52,"saint",27,"saints",25
"saying",52,"saying",48,"sayings",4
"solitariness",52,"",0,"",0
"speech",52,"",0,"",0
"sufficient",52,"",0,"",0
"tears",52,"",0,"",0
"withal",52,"",0,"",0
"ceremonies",51,"",0,"",0
"enemies",51,"",0,"",0
"fish",51,"",0,"",0
"horses",51,"",0,"",0
"known",51,"",0,"",0
"likely",51,"",0,"",0
"mercurialis",51,"",0,"",0
"modo",51,"",0,"",0
